game_id,date,home_team,away_team,home_odds,away_odds,home_won,home_win_rate,away_win_rate,home_whip,away_whip,home_pitcher_era,away_pitcher_era
fc7f74688fa7a695570c6e2a546a1b4c,2026-06-30,Baltimore Orioles,Chicago White Sox,1.72,2.18,0,,,,,,
0673c603ed95036d0dd89744802e018b,2026-06-30,Cleveland Guardians,Texas Rangers,2.04,1.82,0,,,,,,
f62667265f8ded9cddabcc82eecfb2a4,2026-06-30,Philadelphia Phillies,Pittsburgh Pirates,1.44,2.88,1,,,,,,
5ee2ae64246b36c95376f981cb3551da,2026-06-30,New York Yankees,Detroit Tigers,1.81,2.06,0,,,,,,
d394e34530919df3f80263c0e0176924,2026-06-30,Toronto Blue Jays,New York Mets,1.83,2.02,0,,,,,,
ff56e951fb2920b6a40e41ddccbe184b,2026-06-30,Boston Red Sox,Washington Nationals,1.77,2.1,0,,,,,,
6685cf659fbcccab05e1e35fcf4dcbb9,2026-06-30,Atlanta Braves,St. Louis Cardinals,1.7,2.2,0,,,,,,
1d26cb2e8c25cee366cca30f7ae6428a,2026-06-30,Milwaukee Brewers,Cincinnati Reds,1.58,2.44,1,,,,,,
5a0c2a8da870604e8dffcb6d053cd738,2026-06-30,Kansas City Royals,Tampa Bay Rays,2.02,1.83,0,,,,,,
090b0370fb46541b0a17771a0d86e281,2026-07-01,Chicago Cubs,San Diego Padres,1.65,2.3,1,,,,,,
878878a6f002b3712f580e398e40dc1a,2026-07-01,Houston Astros,Minnesota Twins,1.96,1.89,1,,,,,,
c9a7f8f74b4ae9a65c80d47993dfeb86,2026-07-01,Colorado Rockies,Miami Marlins,2.14,1.75,0,,,,,,
2b3a5c8c1587ea527558ec8e6fb514ee,2026-07-01,Arizona Diamondbacks,San Francisco Giants,1.93,1.93,1,,,,,,
1c4be9313fc412b34cc158daa4b7fdac,2026-07-01,Athletics,Los Angeles Dodgers,2.34,1.63,0,,,,,,
835944b5efc736fb06b73068a981fde5,2026-07-01,Seattle Mariners,Los Angeles Angels,1.53,2.58,1,,,,,,
2788dd0a2625745466747d10af8f3447,2026-07-01,Baltimore Orioles,Chicago White Sox,1.65,2.3,,,,,,,
f59c1e3050cb7baeab3f1b997ee3a895,2026-07-01,Cleveland Guardians,Texas Rangers,1.81,2.06,,,,,,,
53f6cd5e0c90cba30f35638b85a72ef6,2026-07-01,Boston Red Sox,Washington Nationals,1.68,2.26,,,,,,,
afdb817faca36038ccfa594672010b63,2026-07-01,New York Yankees,Detroit Tigers,1.7,2.2,,,,,,,
51cf948cf7f0602d670ed6a922636887,2026-07-01,Chicago Cubs,San Diego Padres,1.83,2.02,,,,,,,
cea9b7f2ef253ee28f6d6888b9eecd00,2026-07-01,Toronto Blue Jays,New York Mets,1.93,1.93,,,,,,,
5961513fee89b7b96eae78376ec2fe3f,2026-07-01,Philadelphia Phillies,Pittsburgh Pirates,1.7,2.2,,,,,,,
9bc02db3da6a621d686c70c4384d1a9f,2026-07-01,Atlanta Braves,St. Louis Cardinals,1.75,2.16,,,,,,,
cf32c9650e5e4179dbc82552ff735228,2026-07-01,Kansas City Royals,Tampa Bay Rays,2.12,1.76,,,,,,,
155102fc6ca2d46399a620f515ffe2b3,2026-07-02,Milwaukee Brewers,Cincinnati Reds,1.62,2.36,,,,,,,
c771b9e374413d651231684704a5bbfe,2026-07-02,Houston Astros,Minnesota Twins,1.75,2.14,,,,,,,
8cb46e5f7992c07772b03c820bcc5a46,2026-07-02,Colorado Rockies,Miami Marlins,2.24,1.68,,,,,,,
4613f606f40dfab948c795bcde2caaa2,2026-07-02,Arizona Diamondbacks,San Francisco Giants,1.77,2.1,,,,,,,
89e2407a67afd5e02ec12a372a53fa18,2026-07-02,Athletics,Los Angeles Dodgers,2.36,1.62,,,,,,,
